Date,IPC_Cierre
2016-07-01,46660.671875
2016-08-01,47541.3203125
2016-09-01,47245.80078125
2016-10-01,48009.28125
2016-11-01,45315.9609375
2016-12-01,45642.8984375
2017-01-01,47001.05859375
2017-02-01,46856.7890625
2017-03-01,48541.55859375
2017-04-01,49261.328125
2017-05-01,48788.44140625
2017-06-01,49857.48828125
2017-07-01,51011.87109375
2017-08-01,51210.48046875
2017-09-01,50346.05859375
2017-10-01,48625.53125
2017-11-01,47092.44140625
2017-12-01,49354.421875
2018-01-01,50456.171875
2018-02-01,47437.9296875
2018-03-01,46124.8515625
2018-04-01,48358.16015625
2018-05-01,44662.55078125
2018-06-01,47663.19921875
2018-07-01,49698.01171875
2018-08-01,49547.6796875
2018-09-01,49504.16015625
2018-10-01,43942.55078125
2018-11-01,41732.78125
2018-12-01,41640.26953125
2019-01-01,43987.94140625
2019-02-01,42823.80859375
2019-03-01,43281.28125
2019-04-01,44597.3203125
2019-05-01,42749.16015625
2019-06-01,43161.171875
2019-07-01,40863.08984375
2019-08-01,42622.5
2019-09-01,43011.26953125
2019-10-01,43337.28125
2019-11-01,42820.1796875
2019-12-01,43541.01953125
2020-01-01,44108.30859375
2020-02-01,41324.30859375
2020-03-01,34554.53125
2020-04-01,36470.109375
2020-05-01,36122.73046875
2020-06-01,37716.4296875
2020-07-01,37019.6796875
2020-08-01,36840.73046875
2020-09-01,37458.69140625
2020-10-01,36987.859375
2020-11-01,41778.87109375
2020-12-01,44066.87890625
2021-01-01,42985.73046875
2021-02-01,44592.91015625
2021-03-01,47246.26171875
2021-04-01,48009.71875
2021-05-01,50885.94921875
2021-06-01,50289.75
2021-07-01,50868.3203125
2021-08-01,53304.73828125
2021-09-01,51385.55078125
2021-10-01,51309.83984375
2021-11-01,49698.71875
2021-12-01,53272.44140625
2022-01-01,51330.8515625
2022-02-01,53400.609375
2022-03-01,56536.6796875
2022-04-01,51417.96875
2022-05-01,51752.53125
2022-06-01,47524.44921875
2022-07-01,48144.328125
2022-08-01,44919.21875
2022-09-01,44626.80078125
2022-10-01,49922.30078125
2022-11-01,51684.859375
2022-12-01,48463.859375
2023-01-01,54564.26953125
2023-02-01,52758.05859375
2023-03-01,53904.0
2023-04-01,55121.21875
2023-05-01,52736.26171875
2023-06-01,53526.1015625
2023-07-01,54819.05078125
2023-08-01,53020.98046875
2023-09-01,50874.98046875
2023-10-01,49061.87890625
2023-11-01,54060.01171875
2023-12-01,57386.25
2024-01-01,57372.76171875
2024-02-01,55414.0
2024-03-01,57369.01171875
2024-04-01,56727.98046875
2024-05-01,55179.23828125
2024-06-01,52440.01953125
2024-07-01,53136.83984375
2024-08-01,52913.5
2024-09-01,52477.30078125
2024-10-01,50661.05078125
2024-11-01,49812.640625
2024-12-01,49513.26953125
2025-01-01,51209.53125
2025-02-01,52325.73046875
2025-03-01,52484.4296875
2025-04-01,56259.28125
2025-05-01,57841.69140625
2025-06-01,57391.51171875
